DR_NO,Status,Status Desc
201308050.0,,Adult Other
201008839.0,IC,
201110362.0,AO,Adult Other
200614937.0,AA,Adult Arrest
201308887.0,IC,
200118994.0,AO,Adult Other
200104700.0,,Invest Cont
,,Invest Cont
200518206.0,IC,
200318101.0,IC,Invest Cont
200713724.0,IC,
200606258.0,IC,Invest Cont
,IC,Invest Cont
,IC,
201008424.0,AO,Adult Other
,IC,Invest Cont
200313903.0,IC,
200805192.0,IC,Invest Cont
200409142.0,IC,Invest Cont
,AO,Adult Other
200209182.0,IC,Invest Cont
200122376.0,IC,Invest Cont
201107340.0,IC,Invest Cont
201223732.0,IC,Invest Cont
,IC,
200508896.0,IC,Invest Cont
200414571.0,IC,Invest Cont
200110219.0,IC,Invest Cont
200406941.0,IC,Invest Cont
,IC,Invest Cont
200518043.0,IC,Invest Cont
200311984.0,IC,Invest Cont
,IC,Invest Cont
200715239.0,IC,Invest Cont
200208415.0,IC,Invest Cont
200512012.0,,Invest Cont
200619237.0,IC,Invest Cont
200107420.0,AO,Adult Other
200114977.0,IC,Invest Cont
200408691.0,AO,Adult Other
200505944.0,AA,Adult Arrest
200709618.0,,Invest Cont
200912019.0,IC,Invest Cont
,,Invest Cont
,IC,Invest Cont
200206608.0,IC,Invest Cont
200416134.0,AA,Adult Arrest
200812545.0,,Invest Cont
,IC,Invest Cont
200908387.0,AO,Adult Other
201115716.0,IC,
201104757.0,,Invest Cont
200112641.0,IC,Invest Cont
200808587.0,IC,Invest Cont
200108707.0,IC,Invest Cont
,IC,
200206579.0,,Invest Cont
200812181.0,IC,Invest Cont
200108721.0,IC,Invest Cont
200911985.0,,
200612477.0,IC,Invest Cont
,,Invest Cont
,,Adult Other
200407269.0,IC,Invest Cont
,IC,Invest Cont
200717082.0,IC,Invest Cont
201308747.0,IC,
200911558.0,IC,Invest Cont
200313358.0,IC,Invest Cont
200806390.0,IC,Invest Cont
200317237.0,IC,
,,Invest Cont
200913211.0,IC,Invest Cont
200405300.0,,Invest Cont
201210730.0,AA,Adult Arrest
,IC,Invest Cont
201307464.0,IC,Invest Cont
,IC,Invest Cont
200505388.0,IC,Invest Cont
201112634.0,IC,Invest Cont
201221386.0,AO,Adult Other
201105334.0,IC,Invest Cont
201016165.0,,
200312530.0,AO,Adult Other
200111348.0,IC,Invest Cont
200112317.0,IC,Invest Cont
200511347.0,IC,
200813812.0,IC,Invest Cont
200716209.0,,
,IC,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
200319940.0,IC,Invest Cont
200206200.0,IC,Invest Cont
201001031.0,IC,
200618978.0,IC,Invest Cont
,IC,Invest Cont
201016378.0,IC,
,,Invest Cont
200112134.0,IC,Invest Cont
,IC,Invest Cont
200916915.0,IC,Invest Cont
200215353.0,,Invest Cont
200513199.0,IC,Invest Cont
,,Adult Arrest
200412032.0,,
,,Invest Cont
201205048.0,,Invest Cont
,IC,
200206257.0,AA,Adult Arrest
200111290.0,IC,Invest Cont
200506238.0,IC,Invest Cont
,AA,Adult Arrest
,IC,Invest Cont
200805949.0,IC,Invest Cont
200315474.0,AO,Adult Other
200208104.0,IC,Invest Cont
201308077.0,,Invest Cont
201111688.0,IC,
200612982.0,,Adult Other
200714137.0,IC,Invest Cont
200313027.0,,Invest Cont
201008437.0,IC,Invest Cont
200311690.0,IC,Invest Cont
200513561.0,IC,
,IC,Invest Cont
,AO,Adult Other
200608913.0,IC,Invest Cont
200113345.0,IC,Invest Cont
201216291.0,IC,Invest Cont
,IC,Invest Cont
200708306.0,IC,Invest Cont
200604723.0,,Invest Cont
,,
,JA,Juv Arrest
,,Invest Cont
200208267.0,IC,Invest Cont
,IC,Invest Cont
200319656.0,,Adult Arrest
,IC,
200313398.0,IC,Invest Cont
200108027.0,IC,Invest Cont
,IC,Invest Cont
200207057.0,,Invest Cont
200708752.0,AO,Adult Other
200118373.0,IC,Invest Cont
,AA,Adult Arrest
200704476.0,IC,Invest Cont
200705491.0,IC,Invest Cont
,AA,
200507050.0,AA,Adult Arrest
200608740.0,IC,Invest Cont
201212898.0,IC,
200209042.0,,Invest Cont
,AO,Adult Other
201011305.0,,
200508417.0,IC,
200406553.0,IC,Invest Cont
200312509.0,IC,
200306326.0,IC,Invest Cont
200611374.0,,Adult Other
200406789.0,IC,Invest Cont
200513596.0,,
200200528.0,IC,Invest Cont
200114778.0,IC,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
,,Invest Cont
200122148.0,IC,Invest Cont
200910260.0,AA,Adult Arrest
200704873.0,AA,Adult Arrest
201115143.0,IC,Invest Cont
200117647.0,IC,Invest Cont
201004956.0,AA,Adult Arrest
,IC,
,IC,Invest Cont
200410559.0,IC,Invest Cont
,IC,
,IC,Invest Cont
,IC,Invest Cont
200121662.0,,
201004017.0,AO,Adult Other
,IC,Invest Cont
200116889.0,,
200808524.0,IC,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
200309976.0,IC,Invest Cont
,,
201211750.0,IC,Invest Cont
,IC,Invest Cont
,AA,Adult Arrest
200914631.0,AA,
201226588.0,,
201108673.0,,Invest Cont
,IC,
200604890.0,IC,Invest Cont
200211012.0,IC,Invest Cont
200606027.0,,Invest Cont
200300612.0,AA,Adult Arrest
200112385.0,,Invest Cont
201225902.0,,Invest Cont
201306200.0,IC,
201207703.0,AO,
200807525.0,IC,Invest Cont
200411606.0,IC,Invest Cont
,AO,Adult Other
,IC,Invest Cont
201012324.0,AO,
200105426.0,IC,Invest Cont
200708157.0,,Invest Cont
201009876.0,IC,
201113452.0,IC,
200212796.0,IC,
200112617.0,,Invest Cont
,,Adult Other
,,Invest Cont
,,Invest Cont
200105794.0,IC,
200516335.0,IC,Invest Cont
200104330.0,IC,Invest Cont
,,Invest Cont
,IC,
200512495.0,IC,Invest Cont
,IC,Invest Cont
201014967.0,IC,
200614306.0,,Invest Cont
,IC,Invest Cont
200814446.0,IC,
200614827.0,AO,Adult Other
200512300.0,IC,
200105878.0,IC,Invest Cont
201013526.0,AO,
200715761.0,IC,Invest Cont
200717544.0,IC,Invest Cont
200605332.0,IC,
200210721.0,,
200716494.0,IC,Invest Cont
200608557.0,,Invest Cont
200312517.0,IC,Invest Cont
,,Invest Cont
200308542.0,IC,Invest Cont
200709207.0,IC,Invest Cont
201215183.0,,Invest Cont
,,Invest Cont
200618285.0,,Invest Cont
201217466.0,IC,Invest Cont
201223543.0,IC,Invest Cont
201206606.0,IC,Invest Cont
200315031.0,,
200906161.0,IC,Invest Cont
201107266.0,IC,
,IC,Invest Cont
200506802.0,IC,Invest Cont
200817815.0,AO,Adult Other
200613975.0,,Adult Arrest
200505013.0,AO,Adult Other
,AO,Adult Other
,,
200616827.0,,Invest Cont
201220852.0,AO,Adult Other
200113249.0,,Invest Cont
,IC,
,IC,Invest Cont
201206060.0,IC,Invest Cont
201105882.0,AO,
200816924.0,IC,
200319685.0,IC,Invest Cont
201007019.0,,
200616239.0,IC,
200515738.0,IC,Invest Cont
200504572.0,IC,Invest Cont
201112663.0,AA,
200913103.0,,Invest Cont
200212607.0,,Adult Other
201014152.0,AA,Adult Arrest
201304612.0,AA,Adult Arrest
200912230.0,,Invest Cont
200409001.0,IC,Invest Cont
200504497.0,,
,IC,
,IC,
200300599.0,,Invest Cont
200117100.0,,Invest Cont
,IC,Invest Cont
200116163.0,IC,Invest Cont
201216835.0,AO,Adult Other
,IC,Invest Cont
200904912.0,IC,Invest Cont
,IC,Invest Cont
201209406.0,,
,IC,Invest Cont
200213401.0,AO,Adult Other
200209654.0,IC,Invest Cont
,IC,Invest Cont
200509340.0,IC,Invest Cont
200813153.0,IC,Invest Cont
200118409.0,IC,Invest Cont
200713180.0,IC,Invest Cont
200107002.0,IC,Invest Cont
,IC,Invest Cont
,AO,Adult Other
,,
201205695.0,IC,Invest Cont
,,Invest Cont
200815923.0,,
201222772.0,IC,Invest Cont
200413668.0,IC,Invest Cont
200909539.0,IC,
200806690.0,,Invest Cont
200913625.0,IC,Invest Cont
200806879.0,AA,Adult Arrest
201111698.0,IC,Invest Cont
200305394.0,,
200317836.0,AO,
,IC,Invest Cont
200316048.0,IC,
200612116.0,IC,Invest Cont
200313107.0,IC,Invest Cont
,IC,Invest Cont
201207368.0,,Invest Cont
200321610.0,IC,Invest Cont
200613514.0,IC,Invest Cont
200619016.0,AA,Adult Arrest
200810606.0,IC,Invest Cont
201214576.0,IC,Invest Cont
200320141.0,IC,Invest Cont
201305530.0,AA,Adult Arrest
,AO,Adult Other
201214306.0,IC,
200812618.0,IC,
201216730.0,AA,
201226964.0,IC,Invest Cont
200207407.0,,
,IC,Invest Cont
,IC,Invest Cont
201010638.0,AO,Adult Other
200318730.0,AO,Adult Other
,IC,Invest Cont
,IC,Invest Cont
,IC,
200200762.0,,Adult Arrest
200811437.0,IC,Invest Cont
201015881.0,AO,Adult Other
,,Invest Cont
200122062.0,IC,Invest Cont
200412966.0,IC,Invest Cont
,,Invest Cont
,,
,IC,Invest Cont
200413596.0,IC,Invest Cont
,AO,
200416395.0,AO,Adult Other
201214285.0,AA,Adult Arrest
200612472.0,IC,
200815417.0,IC,Invest Cont
,IC,Invest Cont
,,Adult Arrest
,IC,Invest Cont
200209532.0,,Invest Cont
200610367.0,IC,Invest Cont
,,Invest Cont
200515288.0,IC,
,,Invest Cont
,IC,Invest Cont
200917087.0,,Invest Cont
200208855.0,AO,
200508789.0,AA,Adult Arrest
200714162.0,,Invest Cont
200805662.0,IC,Invest Cont
,IC,Invest Cont
201205765.0,AA,Adult Arrest
200411059.0,IC,Invest Cont
200512068.0,IC,Invest Cont
200309103.0,,Invest Cont
,AO,
200111093.0,,Invest Cont
200807463.0,IC,
200617562.0,IC,Invest Cont
200517072.0,IC,Invest Cont
201113086.0,IC,
200618068.0,AA,Adult Arrest
201012108.0,AO,
200120511.0,IC,Invest Cont
,,
200613365.0,,Invest Cont
,AA,Adult Arrest
200116454.0,IC,Invest Cont
,,Invest Cont
200704770.0,,
200406972.0,AO,Adult Other
201305629.0,IC,Invest Cont
200515400.0,,Adult Other
200908819.0,AA,Adult Arrest
,,Invest Cont
200405800.0,IC,Invest Cont
201009499.0,IC,
,,Invest Cont
201112991.0,IC,Invest Cont
,AA,Adult Arrest
,IC,Invest Cont
200710120.0,IC,
200104231.0,,Invest Cont
,,Invest Cont
201011143.0,IC,Invest Cont
200617885.0,IC,
201304716.0,,Adult Arrest
,AO,Adult Other
200509414.0,AO,Adult Other
200806440.0,IC,Invest Cont
200918724.0,,
200711427.0,IC,Invest Cont
200213787.0,IC,Invest Cont
200812330.0,IC,Invest Cont
200111540.0,IC,Invest Cont
200209537.0,,Invest Cont
201217328.0,,Invest Cont
200218935.0,IC,
,,
200514455.0,IC,Invest Cont
,IC,Invest Cont
200314964.0,IC,Invest Cont
200807387.0,,Invest Cont
201215391.0,IC,
200411512.0,AO,Adult Other
200412558.0,IC,Invest Cont
200111320.0,AO,Adult Other
,IC,Invest Cont
201000572.0,IC,Invest Cont
,IC,Invest Cont
200510400.0,IC,
200408565.0,,Invest Cont
201217582.0,IC,Invest Cont
200517367.0,AA,Adult Arrest
,,Adult Other
200511404.0,,Invest Cont
,IC,Invest Cont
,,Invest Cont
201218571.0,IC,Invest Cont
201224050.0,,Invest Cont
201212928.0,AA,Adult Arrest
,,Adult Other
,AO,Adult Other
200109947.0,AO,Adult Other
,IC,Invest Cont
200119571.0,IC,Invest Cont
200808708.0,IC,Invest Cont
,IC,
201013142.0,,Adult Arrest
200506968.0,IC,Invest Cont
200312995.0,IC,
200511738.0,,
201205711.0,IC,Invest Cont
200811834.0,,
200313933.0,,Invest Cont
200714734.0,,
200817912.0,,
200213679.0,IC,Invest Cont
200409703.0,,Invest Cont
200113247.0,,Invest Cont
201208475.0,,Adult Other
201205614.0,AA,
200512884.0,IC,Invest Cont
201224278.0,IC,Invest Cont
201305119.0,IC,Invest Cont
200320569.0,AO,Adult Other
200807713.0,AO,Adult Other
200407877.0,IC,Invest Cont
200715314.0,IC,Invest Cont
200118585.0,AO,Adult Other
200711402.0,IC,
200314341.0,IC,Invest Cont
201116385.0,IC,
201208356.0,,
201220636.0,,Invest Cont
201008711.0,,Adult Other
200315155.0,AA,Adult Arrest
200916809.0,IC,
200508783.0,JA,Juv Arrest
200906671.0,AA,Adult Arrest
,AO,Adult Other
,AO,Adult Other
200817929.0,AA,Adult Arrest
200311192.0,,Adult Arrest
200110014.0,,Adult Other
200505574.0,IC,Invest Cont
,,Adult Other
200914717.0,,Invest Cont
,IC,Invest Cont
,AO,Adult Other
200505806.0,,Invest Cont
200509569.0,,
201005620.0,,
200409862.0,IC,
200320943.0,IC,Invest Cont
,IC,Invest Cont
200212800.0,AO,Adult Other
,IC,
200609972.0,IC,Invest Cont
,IC,
,IC,Invest Cont
,IC,
200206469.0,AO,
,AO,
201011864.0,IC,Invest Cont
200805480.0,IC,
200211015.0,IC,Invest Cont
201225072.0,IC,Invest Cont
201110100.0,,
200307845.0,IC,
200409195.0,AO,Adult Other
200120530.0,IC,Invest Cont
,AA,
,,
201109057.0,IC,Invest Cont
201014973.0,,Adult Other
201214233.0,IC,Invest Cont
201216579.0,IC,Invest Cont
200606017.0,IC,Invest Cont
,IC,Invest Cont
200321408.0,IC,Invest Cont
,IC,
200618189.0,,Invest Cont
200619337.0,IC,Invest Cont
200101159.0,,Adult Other
200914892.0,IC,Invest Cont
201108924.0,IC,
200708194.0,AA,Adult Arrest
,IC,
201212528.0,IC,Invest Cont
,IC,
200315256.0,AA,Adult Arrest
201225407.0,,
200814987.0,IC,Invest Cont
200314720.0,IC,Invest Cont
201109384.0,,Invest Cont
,AO,
201216586.0,IC,Invest Cont
200515951.0,IC,Invest Cont
,IC,Invest Cont
201006367.0,,
200712338.0,IC,Invest Cont
200412042.0,IC,
,IC,Invest Cont
200311735.0,AO,Adult Other
200505552.0,,
200514284.0,AA,
200917287.0,IC,Invest Cont
,IC,Invest Cont
200206576.0,IC,Invest Cont
201008073.0,AA,Adult Arrest
200304208.0,,
200705430.0,,
200908259.0,AO,Adult Other
,,Invest Cont
201212314.0,IC,Invest Cont
,IC,Invest Cont
201304888.0,,Invest Cont
,,
200215670.0,,Invest Cont
,,Adult Other
200615649.0,,Invest Cont
200305756.0,,Adult Arrest
200908522.0,,Adult Arrest
,AO,Adult Other
,IC,Invest Cont
200512806.0,IC,Invest Cont
,AO,
200708110.0,IC,Invest Cont
,,Invest Cont
,IC,Invest Cont
200312587.0,IC,Invest Cont
200118028.0,IC,Invest Cont
200612438.0,AO,Adult Other
201209001.0,IC,Invest Cont
200710419.0,IC,Invest Cont
,AA,Adult Arrest
201111449.0,,Adult Other
200111019.0,IC,Invest Cont
200114872.0,IC,Invest Cont
200411045.0,IC,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
200800557.0,IC,Invest Cont
200700750.0,IC,Invest Cont
200618401.0,IC,Invest Cont
201106117.0,IC,
201221741.0,,Adult Other
200308581.0,IC,Invest Cont
,,
201011193.0,,Invest Cont
200710354.0,IC,
200318528.0,IC,Invest Cont
200907607.0,IC,
200518123.0,,Invest Cont
200910206.0,IC,Invest Cont
200816692.0,JA,Juv Arrest
200617128.0,AO,Adult Other
,IC,Invest Cont
200715015.0,,Invest Cont
200507974.0,AO,Adult Other
,,
200208898.0,IC,Invest Cont
201214246.0,,Adult Arrest
200814408.0,AO,Adult Other
201223517.0,AO,Adult Other
200810903.0,IC,Invest Cont
200112295.0,,
200512552.0,IC,
200313114.0,IC,Invest Cont
,AO,Adult Other
201227079.0,AA,Adult Arrest
,IC,Invest Cont
201305510.0,,Invest Cont
201004414.0,IC,
200905487.0,AO,Adult Other
201222318.0,,Invest Cont
200616169.0,,
,IC,Invest Cont
,,Adult Other
200814927.0,,
200200946.0,AA,Adult Arrest
201016273.0,IC,
,IC,Invest Cont
,IC,Invest Cont
200411775.0,AA,Adult Arrest
200908606.0,IC,Invest Cont
,IC,Invest Cont
,IC,
200316551.0,,Invest Cont
200313180.0,IC,Invest Cont
201204779.0,AA,Adult Arrest
200406304.0,,Invest Cont
200315207.0,IC,Invest Cont
,IC,
,,Invest Cont
201116639.0,,
200716465.0,IC,
200113922.0,IC,Invest Cont
,,Invest Cont
200610343.0,AA,Adult Arrest
,,Invest Cont
,IC,
,AO,
200204859.0,IC,Invest Cont
200204084.0,IC,Invest Cont
201216353.0,IC,
200511399.0,AO,Adult Other
201306579.0,IC,
,IC,Invest Cont
200412066.0,IC,Invest Cont
200814562.0,IC,Invest Cont
200618421.0,,
200110792.0,IC,Invest Cont
200212369.0,,
200615837.0,IC,Invest Cont
200217666.0,IC,Invest Cont
201211962.0,IC,
200211153.0,,Invest Cont
200320881.0,IC,Invest Cont
200407982.0,JA,
200306659.0,IC,Invest Cont
201225834.0,,Invest Cont
200207566.0,AA,Adult Arrest
200607425.0,IC,Invest Cont
200812217.0,,Invest Cont
200811768.0,IC,
200817952.0,,
200713419.0,AA,
,,Invest Cont
200121716.0,IC,Invest Cont
200711501.0,IC,Invest Cont
,AA,Adult Arrest
201012959.0,IC,Invest Cont
200812063.0,IC,
200121995.0,,
201104538.0,IC,Invest Cont
200312288.0,IC,Invest Cont
200706537.0,IC,
201226708.0,IC,Invest Cont
200311337.0,,Invest Cont
200618654.0,IC,
,AO,
201217241.0,IC,
200516991.0,,Invest Cont
,IC,Invest Cont
,AA,Adult Arrest
201309710.0,,Invest Cont
201205811.0,IC,
201211760.0,AO,Adult Other
201113779.0,IC,Invest Cont
200816769.0,IC,Invest Cont
200908835.0,IC,Invest Cont
200217277.0,IC,
201306040.0,AA,Adult Arrest
200211764.0,,Invest Cont
,IC,Invest Cont
200908932.0,IC,
,IC,Invest Cont
201215331.0,IC,Invest Cont
200216476.0,,
,IC,Invest Cont
200814749.0,IC,Invest Cont
,,Invest Cont
200119130.0,IC,
200113201.0,,Invest Cont
200817695.0,,
200714999.0,,Adult Arrest
200513060.0,,Invest Cont
,AO,Adult Other
201005310.0,IC,Invest Cont
,IC,Invest Cont
200312094.0,IC,Invest Cont
200205644.0,,Invest Cont
200307497.0,AO,Adult Other
200513038.0,AO,Adult Other
200217127.0,,Invest Cont
200117063.0,IC,Invest Cont
200314822.0,IC,Invest Cont
,,Invest Cont
200405492.0,,Invest Cont
,IC,Invest Cont
200112002.0,IC,Invest Cont
201013475.0,AA,Adult Arrest
201213369.0,,Adult Other
200406133.0,IC,Invest Cont
201214518.0,AA,
200906372.0,IC,Invest Cont
,AA,Adult Arrest
201305184.0,IC,Invest Cont
200320041.0,AO,Adult Other
201015865.0,,Invest Cont
200305462.0,,
200119623.0,IC,
200312313.0,IC,
,,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
200106141.0,AO,Adult Other
200906076.0,IC,
200412055.0,,Adult Other
200315063.0,IC,
200510600.0,IC,Invest Cont
,,Invest Cont
200908845.0,AO,
200513954.0,,
,IC,Invest Cont
201109585.0,IC,Invest Cont
200713399.0,AO,Adult Other
,IC,Invest Cont
200614584.0,,Invest Cont
200110834.0,,Invest Cont
,AO,Adult Other
200809096.0,,Invest Cont
200312466.0,IC,
,IC,Invest Cont
,,Invest Cont
200218762.0,IC,Invest Cont
,IC,Invest Cont
201112058.0,AO,
201214256.0,,
,IC,Invest Cont
,IC,
,IC,
200619728.0,IC,
200908169.0,AO,Adult Other
200118146.0,,Invest Cont
200816010.0,,Invest Cont
,IC,Invest Cont
200715889.0,IC,Invest Cont
200710938.0,,
,,Invest Cont
,IC,Invest Cont
,IC,Invest Cont
201210447.0,IC,Invest Cont
200909105.0,IC,Invest Cont
200207387.0,IC,
200118672.0,IC,
200912535.0,,Adult Other
201011748.0,IC,Invest Cont
,IC,Invest Cont
200206299.0,IC,
200613581.0,IC,Invest Cont
,IC,Invest Cont
200515850.0,,Invest Cont
200404130.0,,Invest Cont
201107866.0,,Adult Other
,IC,Invest Cont
200910410.0,IC,
200409074.0,IC,Invest Cont
200917093.0,IC,Invest Cont
200708727.0,,Invest Cont
200910648.0,IC,Invest Cont
,AA,Adult Arrest
201206379.0,,Invest Cont
,IC,Invest Cont
200915430.0,,
200606778.0,,Invest Cont
201214634.0,IC,Invest Cont
,IC,Invest Cont
201012924.0,IC,Invest Cont
,IC,
200514125.0,IC,Invest Cont
200205397.0,IC,Invest Cont
200708044.0,,Invest Cont
200320171.0,IC,Invest Cont
,IC,Invest Cont
200320769.0,IC,Invest Cont
,IC,Invest Cont
,IC,
,AA,Adult Arrest
200216084.0,,
200107019.0,AO,
200108574.0,AO,Adult Other
201211732.0,,Invest Cont
200712340.0,,Invest Cont
,IC,Invest Cont
200208904.0,IC,Invest Cont
200612793.0,IC,Invest Cont
201014757.0,,Invest Cont
200800777.0,IC,
201113269.0,,Adult Other
,AO,Adult Other
,,Invest Cont
200218310.0,,Adult Other
200320466.0,IC,Invest Cont
200218003.0,IC,Invest Cont
200112251.0,,Invest Cont
,IC,Invest Cont
201308023.0,IC,Invest Cont
,,
201000821.0,,
201010690.0,IC,Invest Cont
200407868.0,AO,Adult Other
,AO,
,AA,Adult Arrest
200414918.0,IC,Invest Cont
201012981.0,AA,
,,
,,Invest Cont
200122553.0,,Invest Cont
200218333.0,AO,Adult Other
200517445.0,AA,
200613236.0,IC,Invest Cont
201117063.0,IC,Invest Cont
,AO,Adult Other
200804446.0,IC,Invest Cont
,IC,Invest Cont
200108903.0,IC,
200905364.0,IC,
,,Adult Other
201110632.0,,Adult Arrest
200616266.0,AA,Adult Arrest
201112609.0,IC,Invest Cont
,IC,Invest Cont
201218349.0,IC,Invest Cont
200406554.0,IC,
,IC,Invest Cont
,IC,Invest Cont
200508747.0,IC,Invest Cont
200116883.0,IC,Invest Cont
201008888.0,IC,Invest Cont
200321125.0,,Juv Arrest
201012508.0,IC,
200900635.0,AA,Adult Arrest
,,Invest Cont
200911911.0,AO,Adult Other
,IC,
200313339.0,,Invest Cont
201200628.0,AO,
,IC,Invest Cont
200116219.0,IC,Invest Cont
,,Invest Cont
,IC,Invest Cont
200119889.0,IC,
200405848.0,,Invest Cont
200612949.0,IC,Invest Cont
201221850.0,IC,Invest Cont
,IC,
200716844.0,IC,
200818015.0,IC,Invest Cont
200707745.0,IC,Invest Cont
201107718.0,IC,Invest Cont
201216375.0,AO,Adult Other
,IC,Invest Cont
,AO,Adult Other
201305190.0,,Invest Cont
,IC,Invest Cont
201213973.0,IC,Invest Cont
200707672.0,AO,Adult Other
200715535.0,AO,Adult Other
,AO,Adult Other
201113645.0,,Invest Cont
200713810.0,AA,Adult Arrest
,IC,Invest Cont
201107044.0,IC,
200517299.0,IC,Invest Cont
200913309.0,IC,
200812307.0,,Invest Cont
,AO,
,IC,Invest Cont
200317348.0,IC,Invest Cont
200318166.0,,Invest Cont
200914883.0,IC,Invest Cont
,AA,Adult Arrest
,IC,Invest Cont
200206908.0,AO,Adult Other
200316325.0,IC,Invest Cont
,IC,Invest Cont
200516940.0,AA,Adult Arrest
200506139.0,IC,Invest Cont
201007556.0,IC,Invest Cont
200411542.0,IC,Invest Cont
200708139.0,IC,Invest Cont
200909544.0,IC,Invest Cont
201225715.0,IC,Invest Cont
200317977.0,AA,Adult Arrest
200504956.0,AO,
,AA,
200604143.0,IC,Invest Cont
200512821.0,IC,Invest Cont
200812917.0,,Adult Other
,IC,Invest Cont
200913001.0,IC,Invest Cont
,IC,Invest Cont
200504814.0,IC,Invest Cont
,IC,
200407140.0,IC,
,AO,Adult Other
200512872.0,IC,Invest Cont
,IC,Invest Cont
200706585.0,IC,Invest Cont
201226451.0,,Invest Cont
201111909.0,,Invest Cont
200618587.0,IC,Invest Cont
,IC,Invest Cont
200709084.0,IC,
200619808.0,,Invest Cont
,,Adult Other
200414127.0,IC,Invest Cont
200206194.0,AO,Adult Other
,IC,Invest Cont
,IC,
200914343.0,AO,Adult Other
201220996.0,IC,Invest Cont
200900710.0,IC,
,IC,Invest Cont
201006468.0,,Invest Cont
,AO,Adult Other
200317093.0,IC,Invest Cont
200416136.0,IC,
201109915.0,IC,Invest Cont
201308944.0,IC,Invest Cont
,AA,Adult Arrest
,,Adult Other
,,
200111798.0,IC,Invest Cont
201207833.0,IC,
201012992.0,IC,
,IC,Invest Cont
,,Invest Cont
200619490.0,IC,
201104658.0,,Invest Cont
,IC,Invest Cont
201100619.0,IC,
,IC,Invest Cont
201222479.0,,Invest Cont
200812722.0,IC,
201215247.0,IC,
201210326.0,AA,Adult Arrest
200316181.0,IC,Invest Cont
,IC,Invest Cont
200415331.0,IC,Invest Cont
201220627.0,IC,
200415824.0,IC,
,IC,Invest Cont
201225683.0,IC,Invest Cont
200115598.0,,
201012066.0,,Adult Arrest
,IC,Invest Cont
201217533.0,JA,
,,Invest Cont
200905891.0,IC,Invest Cont
,,
,IC,
200710445.0,IC,Invest Cont
200608750.0,IC,Invest Cont
,,Invest Cont
200613160.0,,
201004884.0,,Invest Cont
201009806.0,AA,Adult Arrest
200514919.0,AA,Adult Arrest
,,Adult Other
200614753.0,IC,Invest Cont
,IC,Invest Cont
201109221.0,IC,Invest Cont
200411824.0,IC,Invest Cont
200605531.0,IC,Invest Cont
,AO,Adult Other
,,Invest Cont
,IC,Invest Cont
201108185.0,AO,Adult Other
,IC,
200711359.0,IC,Invest Cont
201210077.0,AO,
201013814.0,,
201112651.0,,Invest Cont
200104831.0,AA,Adult Arrest
200510076.0,,
200910338.0,IC,Invest Cont
200405754.0,IC,Invest Cont
200112165.0,AA,Adult Arrest
200107629.0,AO,Adult Other
,IC,Invest Cont
200305246.0,AA,
,IC,Invest Cont
,IC,Invest Cont
201110646.0,AO,Adult Other
,,Adult Other
,IC,
200309745.0,AA,Adult Arrest
201111639.0,IC,Invest Cont
,IC,
201226513.0,IC,Invest Cont
200217042.0,,
201108256.0,IC,
,IC,Invest Cont
201110175.0,AO,Adult Other
201222188.0,,Adult Arrest
200817799.0,IC,Invest Cont
201107943.0,,Invest Cont
200109640.0,IC,
,AO,Adult Other
201104723.0,IC,Invest Cont
200515161.0,IC,Invest Cont
201105986.0,,Invest Cont
201004484.0,IC,
200510898.0,IC,
200406831.0,IC,Invest Cont
,,Invest Cont
,IC,Invest Cont
,,Invest Cont
200304997.0,IC,Invest Cont
,,
,IC,
,,Invest Cont
,,Invest Cont
,IC,Invest Cont
200214637.0,AO,Adult Other
,IC,Invest Cont
,,Invest Cont
,IC,Invest Cont
,IC,
200407755.0,IC,Invest Cont
,IC,Invest Cont
,AO,Adult Other
200913360.0,,Invest Cont
200216572.0,IC,Invest Cont
201104821.0,IC,
,AO,
200814228.0,IC,
200916825.0,,Invest Cont
,,Invest Cont
200121703.0,AA,Adult Arrest
200800873.0,,Adult Arrest
,IC,Invest Cont
200907403.0,,
200318704.0,,
201209757.0,AO,Adult Other
201010634.0,IC,
200322343.0,,Invest Cont
,,Invest Cont
200817809.0,IC,
200310513.0,,Invest Cont
,IC,
,IC,Invest Cont
200907533.0,IC,Invest Cont
,AO,Adult Other
,IC,Invest Cont
,AO,
,,Invest Cont
201308340.0,IC,Invest Cont
201219306.0,IC,Invest Cont
201219835.0,IC,Invest Cont
200117676.0,IC,
201012129.0,IC,Invest Cont
200711131.0,AO,Adult Other
200100818.0,IC,Invest Cont
,AO,Adult Other
,AA,Adult Arrest
200209534.0,,Invest Cont
201106918.0,IC,Invest Cont
,AO,
200914632.0,IC,
200711032.0,IC,Invest Cont
200513892.0,IC,Invest Cont
,IC,Invest Cont
,,
200611898.0,IC,Invest Cont
201005142.0,AA,Adult Arrest
200210405.0,IC,Invest Cont
,IC,Invest Cont
201307947.0,IC,
200306754.0,IC,Invest Cont
200607842.0,IC,Invest Cont
,IC,
200215100.0,,
200409421.0,,
,IC,
,AO,Adult Other
,AA,Adult Arrest
200714385.0,IC,
,IC,
,AO,Adult Other
